school_name,school_location,ncaa_division,conference_name
University of the Sciences,"Philadelphia, Pennsylvania",NCAA Division 2,CACC
University of Virginia's College at Wise,"Wise, Virginia",NCAA Division 2,Mountain East
University of West Alabama,"Livingston, Alabama",NCAA Division 2,Gulf South
University of Wisconsin-Parkside,"Kenosha, Wisconsin",NCAA Division 2,GLIAC
Upper Iowa University,"Fayette, Iowa",NCAA Division 2,Northern Sun
Ursuline College,"Pepper Pike, Ohio",NCAA Division 2,GMAC
Valdosta State University,"Valdosta, Georgia",NCAA Division 2,Gulf South
Virginia State University,"Petersburg, Virginia",NCAA Division 2,CIAA
Virginia Union University,"Richmond, Virginia",NCAA Division 2,CIAA
Walsh University,"North Canton, Ohio",NCAA Division 2,GMAC
Washburn University,"Topeka, Kansas",NCAA Division 2,MIAA
Wayne State College,"Wayne, Nebraska",NCAA Division 2,Northern Sun
Wayne State University,"Detroit, Michigan",NCAA Division 2,GLIAC
West Chester University of Pennsylvania,"West Chester, Pennsylvania",NCAA Division 2,PSAC
West Liberty University,"West Liberty, West Virginia",NCAA Division 2,Mountain East
West Texas A & M University,"Canyon, Texas",NCAA Division 2,Lone Star
West Virginia State University,"Institute, West Virginia",NCAA Division 2,Mountain East
West Virginia Wesleyan College,"Buckhannon, West Virginia",NCAA Division 2,Mountain East
Western Colorado University,"Gunnison, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
Western New Mexico University,"Silver City, New Mexico",NCAA Division 2,Lone Star
Western Oregon University,"Monmouth, Oregon",NCAA Division 2,GNAC
Western Washington University,"Bellingham, Washington",NCAA Division 2,GNAC
Westminster College,"Salt Lake City, Utah",NCAA Division 2,Rocky Mountain (RMAC)
Wheeling University,"Wheeling, West Virginia",NCAA Division 2,Mountain East
William Jewell College,"Liberty, Missouri",NCAA Division 2,GLVC
Wilmington University,"New Castle, Delaware",NCAA Division 2,CACC
Wingate University,"Wingate, North Carolina",NCAA Division 2,South Atlantic
Winona State University,"Winona, Minnesota",NCAA Division 2,Northern Sun
Winston-Salem State University,"Winston-Salem, North Carolina",NCAA Division 2,CIAA
Young Harris College,"Young Harris, Georgia",NCAA Division 2,Peach Belt
